artist_name,specific_genre
dee dee sharp,classic girl group
dee dee sharp,doo-wop
dee dee sharp,motown
dee dee sharp,philly soul
dee dee sharp,rhythm and blues
cliff richard,adult standards
cliff richard,brill building pop
cliff richard,bubblegum pop
cliff richard,classic uk pop
cliff richard,mellow gold
cliff richard,new wave pop
cliff richard,rock-and-roll
cliff richard,rockabilly
cliff richard,soft rock
the orlons,brill building pop
the orlons,bubblegum pop
the orlons,classic girl group
the orlons,doo-wop
the orlons,motown
the orlons,rhythm and blues
the orlons,rock-and-roll
gene chandler,brill building pop
gene chandler,chicago soul
gene chandler,classic soul
gene chandler,doo-wop
gene chandler,motown
gene chandler,northern soul
gene chandler,rhythm and blues
gene chandler,soul
gene chandler,southern soul
chris montez,adult standards
chris montez,brill building pop
chris montez,bubblegum pop
chris montez,merseybeat
chris montez,rock-and-roll
glen campbell,adult standards
glen campbell,arkansas country
glen campbell,brill building pop
glen campbell,bubblegum pop
glen campbell,classic country pop
glen campbell,classic rock
glen campbell,folk
glen campbell,folk rock
glen campbell,mellow gold
glen campbell,nashville sound
glen campbell,soft rock
georgie fame,british blues
georgie fame,british invasion
georgie fame,merseybeat
bob dylan,album rock
bob dylan,classic rock
bob dylan,country rock
bob dylan,folk
bob dylan,folk rock
bob dylan,mellow gold
bob dylan,rock
bob dylan,roots rock
bob dylan,singer-songwriter
smokey robinson & the miracles,brill building pop
smokey robinson & the miracles,classic soul
smokey robinson & the miracles,funk
smokey robinson & the miracles,motown
smokey robinson & the miracles,quiet storm
smokey robinson & the miracles,rock-and-roll
smokey robinson & the miracles,soul
smokey robinson & the miracles,southern soul
"peter, paul and mary",american folk revival
"peter, paul and mary",brill building pop
"peter, paul and mary",bubblegum pop
"peter, paul and mary",folk
"peter, paul and mary",folk rock
"peter, paul and mary",mellow gold
"peter, paul and mary",soft rock
jay & the americans,adult standards
jay & the americans,brill building pop
jay & the americans,bubblegum pop
jay & the americans,classic rock
jay & the americans,doo-wop
jay & the americans,folk rock
jay & the americans,merseybeat
jay & the americans,rock-and-roll
billy joe royal,brill building pop
billy joe royal,bubblegum pop
billy joe royal,swamp pop
the impressions,brill building pop
the impressions,chicago soul
the impressions,classic soul
the impressions,funk
the impressions,motown
the impressions,quiet storm
the impressions,rhythm and blues
the impressions,soul
the beach boys,baroque pop
the beach boys,brill building pop
the beach boys,classic rock
the beach boys,psychedelic rock
the beach boys,rock
the beach boys,sunshine pop
lesley gore,adult standards
lesley gore,brill building pop
lesley gore,bubblegum pop
lesley gore,classic girl group
lesley gore,rock-and-roll
vince guaraldi,adult standards
vince guaraldi,christmas instrumental
vince guaraldi,jazz trio
robin ward,brill building pop
the shadows,adult standards
the shadows,brill building pop
the shadows,british invasion
the shadows,merseybeat
the shadows,rock-and-roll
the shadows,rockabilly
barbara lewis,brill building pop
barbara lewis,classic soul
barbara lewis,motown
barbara lewis,rhythm and blues
barbara lewis,soul
barbara lewis,southern soul
the crystals,adult standards
the crystals,brill building pop
the crystals,bubblegum pop
the crystals,classic girl group
the crystals,doo-wop
the crystals,motown
the crystals,rock-and-roll
the crystals,rockabilly
the crystals,soul
the tymes,beach music
the tymes,brill building pop
the tymes,doo-wop
the tymes,motown
the tymes,philly soul
the tymes,rhythm and blues
the searchers,adult standards
the searchers,brill building pop
the searchers,british invasion
the searchers,bubblegum pop
the searchers,folk rock
the searchers,merseybeat
the searchers,rock-and-roll
the searchers,rockabilly
martha reeves & the vandellas,brill building pop
martha reeves & the vandellas,classic girl group
martha reeves & the vandellas,classic soul
martha reeves & the vandellas,disco
martha reeves & the vandellas,funk
martha reeves & the vandellas,motown
martha reeves & the vandellas,quiet storm
martha reeves & the vandellas,rock-and-roll
martha reeves & the vandellas,soul
the cascades,adult standards
the cascades,brill building pop
the cascades,doo-wop
the cascades,rock-and-roll
frankie valli & the four seasons,adult standards
frankie valli & the four seasons,brill building pop
frankie valli & the four seasons,bubblegum pop
frankie valli & the four seasons,doo-wop
frankie valli & the four seasons,lounge
frankie valli & the four seasons,motown
frankie valli & the four seasons,northern soul
frankie valli & the four seasons,rock-and-roll
lou christie,brill building pop
lou christie,bubblegum pop
